,name_numbers,author,holding,lawyers_judge
Allergan Inc v Apotex Inc,"['Allergan, Inc. v. Apotex Inc., 754 F.3d 952 (2014)']","[' Prost, Chief']","[""s: The Court of Appeals, Prost, Chief Judge, held that:\n\n[1]  district  court  did  not  commit  clear  error  in  determining  that  invention  was  not  anticipated  by  published  patent\napplication;\n\n[2] district court did not commit clear error in finding that patent disclosing use of bimatoprost to treat glaucoma did\nnot inherently anticipate patent;\n\n[3] patent for compositions and methods for treating hair loss using non-naturally occurring prostaglandins was invalid\nfor obviousness;\n\n[4] district court committed clear error in finding corroboration of earlier priority date for claimed invention;\n\n[5] references did not represent inventor's own work, and thus constituted prior art; and\n\n[6] patent for topical application of bimatoprost for use to promote eyelash hair growth was invalid for obviousness.\n\nReversed and vacated.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cAllergan, Inc. v. Apotex Inc., 754 F.3d 952 (2014)\n111 U.S.P.Q.2d 1245\n\nChen, Circuit Judge, dissented in part and filed opinion.\n\n""]","['\n\n*955  Jonathan E. Singer, Fish & Richardson P.C., of Minneapolis, MN, argued for plaintiffs-appellees. With him on\nthe brief were Deanna J. Reichel; and Juanita R. Brooks, of San Diego, CA. Of counsel was Jeffrey T. Thomas, Gibson,\nDunn & Crutcher, LLP, of Irvine, CA.\n\nDeanne M. Mazzochi, Rakoczy Molino Mazzochi Siwik LLP, of Chicago, IL, argued for defendants-appellants Apotex\nInc., et al. With her on the brief were William A. Rakoczy, Paul J. Molino, and Andrew M. Alul, for Apotex Inc., et al;\nMeredith Martin Addy, Thomas Filarski, and Brandon C. Helms, Steptoe & Johnson LLP, of Chicago, IL, for Sandoz\nInc.; Steven Roth, Hi–Tech Pharmacal Co., Inc., of Amityville, NY, and Thomas J. Vetter, Lucas & Mercanti, LLP, of\nNew York, NY, for Hi–Tech Pharmacal Co., Inc.; and Gary E. Hood, Robyn H. Ast and Mark T. Deming, Polsinelli\nPC, of Chicago, IL for Watson Pharmaceuticals, Inc., et al. Of counsel were Luke T. Shannon and Harven V. Deshield,\nRakoczy Molino Mazzochi Siwik LLP, of Chicago, IL.\n\nBefore PROST, *  Chief Judge, REYNA and CHEN, Circuit Judges.\n\n']"
South Alabama Medical Science Foundation v Gnosis SPA,"['South Alabama Medical Science Foundation v. Gnosis S.P.A., 808 F.3d 823 (2015)']",[],"[':] The Court of Appeals, Hughes, Circuit Judge, held that substantial evidence supported determination that\npatents were invalid.\n\nAffirmed.\n\nNewman, Circuit Judge, filed a dissenting opinion.\n\nSee also, 808 F.3d 829, 2015 WL 9204017.\n\n']","['\n\n*824  Thomas J. Parker, Alston & Bird LLP, New York, N.Y. argued for appellant. Also represented by Jitendra Malik,\nDurham, NC; Kirk T. Bradley, Charlotte, NC; Peter Rogalskyj, Law Office of Peter Rogalskyj, Livonia, N.Y.\n\nJoseph Cwik, Amin Talati & Upadhye, LLC, Chicago, IL argued for appellees. Also represented by Jonathan Jacob\nKrit, Amin Talati, LLC, Chicago, IL.\n\nBefore NEWMAN, PLAGER, and HUGHES, Circuit Judges.\n\n']"
Pacific Coast Marine Windshields Ltd v Malibu Boats LLC,"['Pacific Coast Marine Windshields Ltd. v. Malibu Boats, LLC, 739 F.3d 694 (2014)']","[' Dyk, Circuit']","[""s: The Court of Appeals, Dyk, Circuit Judge, held that:\n\n[1] issue of first impression, prosecution history estoppel applies to design patents;\n\n[2] applicant narrowed scope of his original application and surrendered subject matter, as required for prosecution\nhistory estoppel to apply, by removing broad claim language that referred to alternate configurations and canceling\nindividual figures showing unelected embodiments;\n\n[3] surrender of claim scope in order to secure patent in response to examiner's restriction requirement for not restricting\nclaim to single inventive design was sufficient for prosecution history estoppel to apply; and\n\n[4] accused design did not fall within scope of surrendered subject matter.\n\nReversed and remanded.\n\n""]","[""\n\n*697  Robert E. Rohde, Rohde & Van Kampen, PLLC, of Seattle, WA, argued for plaintiff-appellant.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n4\n\n\x0cPacific Coast Marine Windshields Ltd. v. Malibu Boats, LLC, 739 F.3d 694 (2014)\n109 U.S.P.Q.2d 1225\n\nDarin W. Snyder, O'Melveny & Myers LLP, of San Francisco, CA, argued for all defendants-appellees. With him on\nthe brief for defendants-appellees, Malibu Boats, LLC, et al., were Brian Berliner and Steven Basileo, of Los Angeles,\nCA; and Jonathan D. Hacker and Deanna M. Rice, of Washington, DC. On the brief for defendants-appellees, Marine\nHardware, Inc., et al., were Mark P. Walters and Dario A. Machleidt, Frommer Lawrence & Haug, LLP, of Seattle,\nWA, for Defendants–Appellees.\n\nBefore DYK, MAYER, and CHEN, Circuit Judges.\n\n""]"
Yeda Research and Development Co Ltd v Abbott GMBH And Co KG,"['Yeda Research and Development Co., Ltd. v. Abbott GMBH..., 837 F.3d 1341 (2016)']",[],"["":] The Court of Appeals, Reyna, Circuit Judge, held that patent benefited from earlier application's priority date.\n\nAffirmed; Appeal dismissed.\n\n""]","['\n\nMATTHEW  NIELSEN,  Marshall,  Gerstein  &  Borun  LLP,  Chicago,  IL,  argued  for  plaintiff-appellant/defendant-\nappellant.  Also  represented  by  KEVIN  M.  FLOWERS,  AMANDA  ANTONS;  ROGER  L.  BROWDY,  RONNI\nJILLIONS, Browdy and Neimark PLLC, Washington, DC.\n\n*1343  JAMES RICHARD FERGUSON, Mayer Brown, LLP, Chicago, IL, argued for defendant-appellee/plaintiff-\nappellee. Also represented by TODD RAY WALTERS, Buchanan Ingersoll & Rooney P.C., Alexandria, VA.\n\nBefore Reyna, Wallach, and Hughes, Circuit Judges.\n\n']"
Intellectual Ventures I LLC v Capital One Bank (USA),"['Intellectual Ventures I LLC v. Capital One Bank (USA), 792 F.3d 1363 (2015)']","[' Dyk, Circuit']","['s: The Court of Appeals, Dyk, Circuit Judge, held that:\n\n[1]  patent  claiming  methods  of  tracking  and  storing  information  was  directed  to  patent-ineligible  abstract  idea  of\nbudgeting;\n\n[2] patent generally relating to customizing web page content claimed abstract idea and otherwise did not claim inventive\nconcept; and\n\n[3] term, “machine readable instruction form,” in patent claiming methods for scanning hard-copy images, required that\nmachine readable instructions be in hard-copy.\n\nAffirmed.\n\n']","['\n\n*1365  Nickolas Bohl, Feinberg Day Alberti & Thompson LLP, Menlo Park, CA, argued for plaintiffs-appellants. Also\nrepresented by Marc Belloli, Elizabeth Day, Clayton W. Thompson, II; Thomas Richard Burns, Jr., Adduci, Mastriani\n& Schaumberg, LLP, Washington, DC; Eric F. Citron, Goldstein & Russell, P.C., Bethesda, MD; Thomas Goldstein,\nWashington, DC.\n\nMatthew J. Moore, Latham & Watkins LLP, Washington, DC, argued for defendants-appellees. Also represented by\nAbbott B. Lipsky, Jr., Gabriel Bell, Marguerite M. Sullivan, James Scott Ballenger; Jeffrey G. Homrig, Menlo Park,\nCA; Robert A. Angle, Dabney Jefferson Carr, IV, Troutman Sanders LLP, Richmond, VA.\n\nJames  Quarles,  III,  Wilmer  Cutler  Pickering  Hale  and  Dorr  LLP,  Washington,  DC,  for  amicus  curiae  Askeladden,\nL.L.C. Also represented by Richard Anthony Crudo, Gregory H. Lantier.\n\nBefore DYK, REYNA, and CHEN, Circuit Judges.\n\n']"
Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US,"['Shenyang Yuanda Aluminum Industry Engineering Co., Ltd. v. U.S., 776 F.3d 1351 (2015)']","[' Wallach, Circuit']","[""s: The Court of Appeals, Wallach, Circuit Judge, held that:\n\n[1] producers of curtain wall units had standing to file scope ruling request;\n\n[2] scope of orders included curtain wall units; and\n\n[3] importer's products did not fall within “finished merchandise” exception in orders.\n\nAffirmed.\n\n""]","['\n\n*1352  Thomas M. Beline, Cassidy Levy Kent (USA) LLP, of Washington, DC, argued for plaintiffs-appellants. With\nhim on the brief were James R. Cannon, Jr. and Thomas M. Beline. Of counsel on the brief were Kristen Smith and\nMark Ludwikowski, Sandler, Travis & Rosenberg, P.A., of Washington, DC.\n\nTara  K.  Hogan,  Senior  Trial  Counsel,  Commercial  Litigation  Branch,  Civil  Division,  United  States  Department  of\nJustice, of Washington, DC, argued for defendant-appellee United States. With her on the brief were Stuart F. Delery,\nAssistant Attorney General, Jeanne E. Davidson, Director, and Reginald T. Blades, Jr., Assistant Director. Of counsel\non the brief was Scott McBride, Office of the Chief Counsel for Trade Enforcement and Compliance, United States\nDepartment of Commerce, of Washington, DC.\n\nDavid M. Spooner, Barnes & Thornburg LLP, of Washington, DC, argued for defendant-appellee Walters & Wolf.\nWith him on the brief was Christine J. Sohar Henter.\n\nBefore PROST, Chief Judge, PLAGER and WALLACH, Circuit Judges.\n\n']"
Allergan Inc v Athena Cosmetics Inc,"['Allergan, Inc. v. Athena Cosmetics, Inc., 738 F.3d 1350 (2013)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] Federal Food, Drug, and Cosmetic Act (FDCA) did not impliedly preempt seller's claim;\n\n[2] competitor's products qualified as new drugs that lacked requisite approval under California Health and Safety Code;\nbut\n\n[3] district court abused its discretion by issuing injunction regulating out-of-state conduct.\n\nAffirmed in part, vacated in part, and remanded.\n\n""]","['\n\n*1352  Mark A. Perry, Gibson, Dunn & Crutcher LLP, of Washington, DC, argued for plaintiffs-appellees. With him\non the brief were Jeffrey T. Thomas and Blaine H. Evanson, of Irvine, CA.\n\nSteven A. Zalesin, Patterson Belknap Webb & Tyler LLP, of New York, NY, argued for defendant-appellant. With\nhim on the brief were Travis J. Tu, Jonah M. Knobler and Jane M. Metcalf. Of counsel was Stephen P. Benson, Katten\nMuchin Rosenman, LLP, of Chicago, IL.\n\nBefore RADER, Chief Judge, MOORE, and WALLACH, Circuit Judges.\n\n']"
Triton Tech of Texas LLC v Nintendo of America Inc,"['Triton Tech of Texas, LLC v. Nintendo of America, Inc., 753 F.3d 1375 (2014)']",[],"[':] The Court of Appeals, Moore, Circuit Judge, held that patent was invalid for indefiniteness.\n\nAffirmed.\n\n']","['\n\n*1376  James F. McDonough, III, Heninger Garrison Davis, LLC, of Atlanta, GA, argued for plaintiff-appellant. With\nhim on the brief were Jacqueline Knapp Burt; and Timothy C. Davis, of Birmingham, AL.\n\nGrant Kinsel, Perkins Coie, LLP, of Los Angeles, CA, argued for defendant-appellee. With him on the brief were Joseph\nHamilton, of Los Angeles, CA; Jonathan L. McFarland, of Seattle, WA; and Dan L. Bagatell, of Phoenix, AZ.\n\nBefore MOORE, REYNA, and HUGHES, Circuit Judges.\n\n']"
Sport Dimension Inc v Coleman Co Inc,"['Sport Dimension, Inc. v. Coleman Co., Inc., 820 F.3d 1316 (2016)']","[' Stoll, Circuit']","[""s: The Court of Appeals, Stoll, Circuit Judge, held that:\n\n[1] district court was required to consider how functional elements contributed to design's overall ornamentation;\n\n[2] district court erred in failing to consider how functional elements contributed to design's overall ornamentation; and\n\n[3] district court did not abuse its discretion in excluding testimony of industrial design consultant.\n\nAffirmed in part, vacated, and remanded.\n\n""]","['\n\n*1317  Yuri Mikulka, Manatt, Phelps & Phillips, LLP, Costa Mesa, CA, argued for plaintiff-appellee. Also represented\nby Michael I. Rothwell, Los Angeles, CA.\n\n*1318  Michael R. Annis, Husch Blackwell LLP, St. Louis, MO, argued for defendant-appellant. Also represented by\nJoAnn Tracy Sandifer.\n\nBefore MOORE, HUGHES, and STOLL, Circuit Judges.\n\n']"
Skky Inc v MindGeek sarl,"['Skky, Inc. v. MindGeek, s.a.r.l., 859 F.3d 1014 (2017)']","[' Lourie, Circuit']","[""s: The Court of Appeals, Lourie, Circuit Judge, held that:\n\n[1] claim term “wireless device means” did not involve means-plus-function limitation;\n\n[2]  claim  term  did  not  require  multiple  processors,  wherein  one  was  specialized  processor  primarily  dedicated  to\nprocessing compressed multimedia data;\n\n[3] patent examiner's determination that claims were patentable over reference did not preclude reference from being\nconsidered in IPR proceeding;\n\n[4] claim describing “compressed digital and/or visual file [as] a segment of a full song, musical composition, or other\naudio recording or visual recordings” was unpatentable as obvious;\n\n[5] substantial evidence supported Board's finding of motivation to combine prior art references; and\n\n[6] Board did not abuse its discretion by not striking petitioner's reply brief.\n\nAffirmed.\n\n""]","['\n\nRONALD  JAMES  SCHUTZ,  Robins  Kaplan  LLP,  Minneapolis,  MN,  argued  for  appellant.  Also  represented  by\nRYAN MICHAEL SCHULTZ, CYRUS ALCORN MORTON, ANDREW JOSEPH KABAT.\n\nFRANK  M.  GASPARO,  Venable  LLP,  New  York,  NY,  argued  for  appellees.  Also  represented  by  TODD  M.\nNOSHER; MEGAN S. WOODWORTH, Washington, DC; TAMANY VINSON BENTZ, Los Angeles, CA.\n\nBefore Lourie, Reyna, and Wallach, Circuit Judges.\n\n']"
D'Agostino v MasterCard International Incorporated,"[""D'Agostino v. MasterCard International Incorporated, 844 F.3d 945 (2016)""]","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] PTAB departed from or misapplied clear meaning of single-merchant limitation in patents, but\n\n[2] substantial evidence supported PTAB's finding that prior art disclosed defining and designating payment category\nbefore transaction code, as claimed by patents.\n\nVacated and remanded.\n\n""]","[""\n\nROBERT GREENSPOON, Flachsbart & Greenspoon, LLC, Chicago, IL, argued for appellant. Also represented by\nJOSEPH CARL DRISH.\n\nELIOT  DAMON  WILLIAMS,  Baker  Botts  LLP,  Palo  Alto,  CA,  argued  for  appellee.  *947   Also  represented  by\nROBERT C. SCHEINFELD, New York, NY.\n\nBefore Taranto, Linn, and Stoll, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cD'Agostino v. MasterCard International Incorporated, 844 F.3d 945 (2016)\n121 U.S.P.Q.2d 1134\n\n""]"
Bayer CropScience AG v Dow AgroSciences LLC,"['Bayer CropScience AG v. Dow AgroSciences LLC, 728 F.3d 1324 (2013)']",[],"[':]  The  Court  of  Appeals,  Taranto,  Circuit  Judge,  held  that  phrase,  “biological  activity  of  2,4–D\nmonooxygenase,” meant enzymatic activity of an enzyme, in a biological system, that causes a reaction with 2,4–D, and\ntwo molecules of oxygen, where one molecule of oxygen is added to 2,4–D and the other ultimately forms water.\n\nAffirmed.\n\n']","['\n\n*1324  Robert J. Koch, Milbank, Tweed, Hadley & McCloy, LLP, of WA, DC, argued for plaintiff-appellant. With\nhim on the brief were Fredrick M. Zullow and Christopher J. Gaspar, of New York, NY.\n\nMark S. Davies, Orrick, Herrington & Sutcliffe, LLP, of WA, DC, argued for defendant-appellee. With him on the brief\nwere Rachel M. McKenzie; Elizabeth A. Howard, of Menlo Park, CA; Peter A. Bicks and Alex V. Chachkes, of New\nYork, NY.\n\nBefore PROST, BRYSON, and TARANTO, Circuit Judges.\n\n']"
