case_number	name	date	file_name	court_list	court_type	decision	author	judge_panel
878 F.3d 1027	Bosch Automotive Service Solutions LLC v Matal	2017-12-22	040 - Bosch Automotive Service Solutions LLC v Matal	Patent Trial and Appeal Board	Federal Court	"AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED
"	Chen	"Before Newman, Chen, and Hughes, Circuit Judges.
"
870 F.3d 1320	Intellectual Ventures I LLC v Motorola Mobility LLC	2017-09-13	001 - Intellectual Ventures I LLC v Motorola Mobility LLC	District of Delaware	Federal District Court	"AFFIRMED IN PART AND REVERSED IN PART
"	Dyk	"Before Newman, Dyk, and Taranto, Circuit Judges.
"
712 F.3d 549	Saffran v Johnson And Johnson	2013-04-04	023 - Saffran v Johnson And Johnson	Eastern District of Texas	Federal District Court	"REVERSED
"	Lourie	"Before LOURIE, MOORE, and O'MALLEY, Circuit Judges.
"
789 F.3d 1309	GTNX Inc v INTTRA Inc	2015-06-16	064 - GTNX Inc v INTTRA Inc	Patent Trial and Appeal Board	Federal Court	"APPEAL DISMISSED, MANDAMUS DENIED
"	Taranto	"Before DYK, TARANTO, and CHEN, Circuit Judges.
"
843 F.3d 942	Medgraph Inc v Medtronic Inc	2016-12-13	025 - Medgraph Inc v Medtronic Inc	Second Circuit	Appellate Court	"AFFIRMED
"	Lourie	"Before Lourie, Plager, and Taranto, Circuit Judges.
"
816 F.3d 788	Apple Inc v Samsung Electronics Co Ltd	2016-02-26	082 - Apple Inc v Samsung Electronics Co Ltd	Northern District of California	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART
"	Dyk	"Before PROST, Chief Judge, DYK, and REYNA, Circuit Judges.
"
778 F.3d 1341	Gilead Sciences Inc v Lee	2015-02-26	030 - Gilead Sciences Inc v Lee	Eastern District of Virginia	Federal District Court	"AFFIRMED
"	Wallach	"Before DYK, WALLACH, and HUGHES, Circuit Judges.
"
822 F.3d 1312	Howmedica Osteonics Corp v Zimmer Inc	2016-05-12	087 - Howmedica Osteonics Corp v Zimmer Inc	District of New Jersey	Federal District Court	"AFFIRMED
"	Plager	"Before O'MALLEY, PLAGER, and WALLACH, Circuit Judges.
"
848 F.3d 1346	Xilinx Inc v Papst Licensing GmbH And Co KG	2017-02-15	058 - Xilinx Inc v Papst Licensing GmbH And Co KG	Northern District of California	Federal District Court	"REVERSED AND REMANDED
"	Dyk	"Before Prost, Chief Judge, Newman, and Dyk, Circuit Judges.
"
819 F.3d 1334	ClearCorrect Operating LLC v International Trade Com'n	2016-04-07	095 - ClearCorrect Operating LLC v International Trade Com'n	International Trade Commission	Federal Court	"The petitions for rehearing en banc are denied.
"	Prost	"Before  PROST,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,  WALLACH,
TARANTO, CHEN, HUGHES, and STOLL, Circuit Judges.
"
678 F.3d 1280	Otsuka Pharmaceutical Co Ltd v Sandoz Inc	2012-05-07	030 - Otsuka Pharmaceutical Co Ltd v Sandoz Inc	District of New Jersey	Federal District Court	"AFFIRMED
"	Lourie	"Before LOURIE, MOORE, and REYNA, Circuit Judges.
"
725 F.3d 1315	3M Innovative Properties Co v Tredegar Corp	2013-08-06	025 - 3M Innovative Properties Co v Tredegar Corp	District of Minnesota	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED
"	Reyna	"Before O'MALLEY, PLAGER, and REYNA, Circuit Judges.
"
727 F.3d 1375	Aevoe Corp v AE Tech Co Ltd	2017-04-03	040 - Aevoe Corp v AE Tech Co Ltd	District of Nevada	Federal District Court	"DISMISSED
"	O'Malley	"Before RADER, Chief Judge, LOURIE, and O'MALLEY, Circuit Judges.
"
713 F.3d 104	In re Morsa	2013-04-05	007 - In re Morsa	Patent Trial and Appeal Board	Federal Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED
"	O'Malley	"Before RADER, Chief Judge, LOURIE, and O'MALLEY, Circuit Judges.
"
831 F.3d 1369	Halo Electronics Inc v Pulse Electronics Inc	2016-08-05	020 - Halo Electronics Inc v Pulse Electronics Inc	District of Nevada	Federal District Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED
"	Lourie	"Before Lourie, O'Malley, and Hughes, Circuit Judges. Lourie, Circuit Judge.
"
778 F.3d 1250	In re Imes	2015-01-29	077 - In re Imes	Patent Trial and Appeal Board	Federal Court	"REVERSED AND REMANDED.
"	Moore	"Before LOURIE MOORE, and CHEN, Circuit Judges.
"
749 F.3d 1376	In re Procter And Gamble Co	2014-04-24	014 - In re Procter And Gamble Co	Southern District of Ohio	Federal District Court	"The petition is denied.
"	Taranto	"Before LOURIE, PROST, and TARANTO, Circuit Judges.
"
824 F.3d 989	David Netzer Consulting Engineer LLC v Shell Oil Company	2016-05-27	027 - David Netzer Consulting Engineer LLC v Shell Oil Company	Southern District of Texas	Federal District Court	"AFFIRMED
"	Lourie	"Before Prost, Chief Judge, Lourie and Taranto, Circuit Judges.
"
675 F.3d 1324	Aventis Pharma SA v Hospira Inc	2012-04-09	054 - Aventis Pharma SA v Hospira Inc	District of Delaware	Federal District Court	"AFFIRMED
"	Prost	"Before LINN, DYK, and PROST, Circuit Judges.
"
841 F.3d 966	In re NuVasive Inc	2016-11-09	097 - In re NuVasive Inc	Patent Trial and Appeal Board	Federal Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED
"	Taranto	"Before Moore, Wallach, and Taranto, Circuit Judges.
"
875 F.3d 636	Sanofi v Watson Laboratories Inc	2017-11-09	037 - Sanofi v Watson Laboratories Inc	District of Delaware	Federal District Court	"AFFIRMED
"	Taranto	"Before Prost, Chief Judge, Wallach, and Taranto, Circuit Judges.
"
827 F.3d 1052	Amgen Inc v Apotex Inc	2016-07-05	092 - Amgen Inc v Apotex Inc	Southern District of Florida	Federal District Court	"AFFIRMED
"	Taranto	"Before Wallach, Bryson, and Taranto, Circuit Judges.
"
806 F.3d 1376	US v Nitek Electronics Inc	2015-12-01	067 - US v Nitek Electronics Inc	United States Court of International Trade	Federal Court	"AFFIRMED
"	Clevenger	"Before NEWMAN, CLEVENGER, and O'MALLEY, Circuit Judges.
"
737 F.3d 1320	CBT Flint Partners LLC v Return Path Inc	2013-12-13	086 - CBT Flint Partners LLC v Return Path Inc	Northern District of Georgia	Federal District Court	"REVERSED IN PART, VACATED IN PART, AND REMANDED.
"	Taranto	"Before DYK, O'MALLEY, and TARANTO, Circuit Judges.
"
742 F.3d 955	EnOcean GmbH v Face Intern Corp	2014-01-31	094 - EnOcean GmbH v Face Intern Corp	Patent Trial and Appeal Board	Federal Court	"VACATED–IN–PART AND REMANDED.
"	Prost	"Before RADER, Chief Judge, LOURIE and PROST, Circuit Judges.
"
686 F.3d 1376	Lenscom Inc v 1-800 Contacts Inc	2012-08-03	058 - Lenscom Inc v 1-800 Contacts Inc	Trademark Trial and Appeal Board	Federal Court	"AFFIRMED
"	Linn	"Before NEWMAN, LINN, and MOORE, Circuit Judges.
"
858 F.3d 1377	Evans v Building Materials Corporation of America	2017-06-05	074 - Evans v Building Materials Corporation of America	Eastern District of Virginia	Federal District Court	"AFFIRMED
"	Taranto	"Before Reyna, Linn, and Taranto, Circuit Judges.
"
732 F.3d 1325	Broadcom Corp v Emulex Corp	2013-10-07	042 - Broadcom Corp v Emulex Corp	Central District of California	Federal District Court	"AFFIRMED
"	Rader	"Before RADER, Chief Judge, LOURIE, and WALLACH, Circuit Judges.
"
697 F.3d 1367	Flo Healthcare Solutions LLC v Kappos	2012-10-23	026 - Flo Healthcare Solutions LLC v Kappos	Northern District of Georgia	Federal District Court	"AFFIRMED
"	Plager	"Before NEWMAN, PLAGER, and WALLACH, Circuit Judges.
"
674 F.3d 1365	Advanced Fiber Technologies (AFT) Trust v J And L Fiber Services Inc	2012-04-03	022 - Advanced Fiber Technologies (AFT) Trust v J And L Fiber Services Inc	Northern District of New York	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED
"	Lourie	"*1367  Before LOURIE, DYK, and PROST, Circuit Judges.
"
688 F.3d 1376	Shell Oil Co v US	2012-02-01	29 - Shell Oil Co v US	United States Court of International Trade	Federal Court	"AFFIRMED
"	Wallach	"Before PROST, MOORE, and WALLACH, Circuit Judges.
"
858 F.3d 1392	Wyandot Nation of Kansas v United States	2017-06-08	093 - Wyandot Nation of Kansas v United States	United States Court of Federal Claims	Federal Court	"AFFIRMED
"	Dyk	"Before Dyk, O'Malley, and Wallach, Circuit Judges.
"
715 F.3d 1329	Forrester Environmental Services Inc v Wheelabrator Technologies Inc	2013-05-16	075 - Forrester Environmental Services Inc v Wheelabrator Technologies Inc	District of New Hampshire	Federal District Court	"VACATED and REMANDED
"	Dyk	"Before NEWMAN, BRYSON, and DYK, Circuit Judges.
"
849 F.3d 1034	Icon Health and Fitness Inc v Strava Inc	2017-02-27	089 - Icon Health and Fitness Inc v Strava Inc	Patent Trial and Appeal Board	Federal Court	"VACATED-IN-PART, AFFIRMED-IN-PART, AND REMANDED
"	Wallach	"Before O'Malley, Reyna, and Wallach, Circuit Judges.
"
866 F.3d 1304	Diamond Sawblades Manufacturers Coalition v United States	2017-08-07	25 - Diamond Sawblades Manufacturers Coalition v United States	United States Court of International Trade	Federal Court	"AFFIRMED
"	O'Malley	"Before Lourie, O'Malley, and Taranto, Circuit Judges.
"
813 F.3d 1350	Ohio Willow Wood Co v Alps South LLC	2016-02-19	051 - Ohio Willow Wood Co v Alps South LLC	Southern District of Ohio	Federal District Court	"AFFIRMED
"	Bryson	"Before DYK, BRYSON, and WALLACH, Circuit Judges.
"
684 F.3d 1276	Preston v Marathon Oil Co	2012-07-10	004 - Preston v Marathon Oil Co	District of Wyoming	Federal District Court	"AFFIRMED IN PART, VACATED IN PART.
"	O'Malley	"Before BRYSON, DYK and O'MALLEY, Circuit Judges.
"
676 F.3d 1341	USPPS Ltd v Avery Dennison Corp	2012-04-17	091 - USPPS Ltd v Avery Dennison Corp	Western District of Texas	Federal District Court	"AFFIRMED
"	Prost	"Before PROST, MAYER, and O'MALLEY, Circuit Judges.
"
706 F.3d 1351	Arkema Inc v Honeywell Intern Inc	2013-02-05	028 - Arkema Inc v Honeywell Intern Inc	Eastern District of Pennsylvania	Federal District Court	"REVERSED and REMANDED
"	Dyk	"Before DYK, PLAGER, and O'MALLEY, Circuit Judges.
"
838 F.3d 1214	ClassCo Inc v Apple Inc	2016-09-22	093 - ClassCo Inc v Apple Inc	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Stoll	"Before Taranto, Bryson, and Stoll, Circuit Judges.
"
778 F.3d 1365	Warsaw Orthopedic Inc v NuVasive Inc	2015-03-02	057 - Warsaw Orthopedic Inc v NuVasive Inc	Southern District of California	Federal District Court	"AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED–IN–PART
"	Dyk	"Before LOURIE, DYK, and REYNA, Circuit Judges.
"
670 F.3d 1171	Bard Peripheral Vascular Inc v WL Gore And Associates Inc	2012-02-10	094 - Bard Peripheral Vascular Inc v WL Gore And Associates Inc	District of Arizona	Federal District Court	"AFFIRMED.
"	Gajarsa	"Before NEWMAN, GAJARSA, *  and LINN, Circuit Judges.
"
876 F.3d 1326	Nobelbiz Inc v Global Connect LLC	2017-12-08	079 - Nobelbiz Inc v Global Connect LLC	Eastern District of Texas	Federal District Court	"The petition for rehearing en banc is denied.
"	Prost	"Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, O'Malley, Reyna, Wallach, Taranto, Chen, Hughes, and
Stoll, Circuit Judges.
"
861 F.3d 1353	AdjustaCam LLC v Newegg Inc	2017-07-05	070 - AdjustaCam LLC v Newegg Inc	Eastern District of Texas	Federal District Court	"REVERSED AND REMANDED
"	Reyna	"Before Reyna, Mayer, and Hughes, Circuit Judges.
"
757 F.3d 1366	Retractable Technologies Inc v Becton Dickinson and Co	2014-07-07	078 - Retractable Technologies Inc v Becton Dickinson and Co	Eastern District of Texas	Federal District Court	"AFFIRMED
"	Linn	"Before LOURIE and LINN, Circuit Judges. *
"
861 F.3d 1269	Maverick Tube Corporation v Toscelik Profil ve Sac Endustrisi AS	2017-07-03	097 - Maverick Tube Corporation v Toscelik Profil ve Sac Endustrisi AS	United States Court of International Trade	Federal Court	"AFFIRMED
"	Prost	"Before Prost, Chief Judge, Lourie and Stoll, Circuit Judges.
"
805 F.3d 1092	Prometheus Laboratories Inc v Roxane Laboratories Inc	2015-11-10	053 - Prometheus Laboratories Inc v Roxane Laboratories Inc	District of New Jersey	Federal District Court	"AFFIRMED.
"	Dyk	"Before DYK, TARANTO, and HUGHES, Circuit Judges.
"
816 F.3d 1374	MAG Aerospace Industries Inc v BE Aerospace Inc	2016-03-23	081 - MAG Aerospace Industries Inc v BE Aerospace Inc	Central District of California	Federal District Court	"AFFIRMED
"	Prost	"Before PROST, Chief Judge, MAYER and REYNA, Circuit Judges.
"
696 F.3d 1142	In re Abbott Diabetes Care Inc	2011-01-18	047 - In re Abbott Diabetes Care Inc	District of Delaware	Federal District Court	"VACATED–IN–PART AND REMANDED.
"	Prost	"Before LOURIE, PROST, and WALLACH, Circuit Judges.
"
717 F.3d 1336	Douglas Dynamics LLC v Buyers Products Co	2013-05-21	011 - Douglas Dynamics LLC v Buyers Products Co	Western District of Wisconsin	Federal District Court	"REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.
"	Rader	"Before RADER, Chief Judge, NEWMAN and MAYER, Circuit Judges.
"
797 F.3d 1020	Akamai Technologies Inc v Limelight Networks Inc	2015-08-13	045 - Akamai Technologies Inc v Limelight Networks Inc	District of Massachusetts	Federal District Court	"Judgment of noninfringement reversed.
"	Prost	"Before PROST, Chief Judge, NEWMAN, LOURIE, LINN, DYK, MOORE, O'MALLEY, REYNA, WALLACH,
and HUGHES, Circuit Judges. *
"
750 F.3d 1339	Oracle America Inc v Google Inc	2014-05-09	070 - Oracle America Inc v Google Inc	Northern District of California	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED
"	O'Malley	"Before O'MALLEY, PLAGER, and TARANTO, Circuit Judges.
"
774 F.3d 1362	Belimo Automation AG v US	2014-12-19	089 - Belimo Automation AG v US	United States Court of International Trade	Federal Court	"AFFIRMED
"	Prost	"Before PROST, Chief Judge, NEWMAN and TARANTO, Circuit Judges.
"
875 F.3d 1360	BASF Corporation v Johnson Matthey Inc	2017-11-20	034 - BASF Corporation v Johnson Matthey Inc	District of Delaware	Federal District Court	"REVERSED AND REMANDED
"	Taranto	"Before Lourie, O'Malley, and Taranto, Circuit Judges.
"
873 F.3d 887	Organik Kimya AS v Rohm and Haas Company	2017-10-11	003 - Organik Kimya AS v Rohm and Haas Company	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Newman	"Before Prost, Chief Judge, Newman and Taranto, Circuit Judges.
"
772 F.3d 728	Roche Vitamins Inc v US	2014-11-20	052 - Roche Vitamins Inc v US	United States Court of International Trade	Federal Court	"AFFIRMED.
"	Lourie	"Before PROST, Chief Judge, LOURIE and DYK, Circuit Judges.
"
664 F.3d 907	MarcTec LLC v Johnson And Johnson	2012-01-03	020 - MarcTec LLC v Johnson And Johnson	Federal Circuit	Appellate Court	"AFFIRMED.
"	O'Malley	"Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
"
842 F.3d 1350	Asetek Danmark AS v CMI USA Inc	2016-12-06	057 - Asetek Danmark AS v CMI USA Inc	Northern District of California	Federal District Court	"AFFIRMED IN PART, REMANDED IN PART
"	Taranto	"Before Prost, Chief Judge, Newman, and Taranto, Circuit Judges.
"
726 F.3d 1306	Taurus IP LLC v DaimlerChrysler Corp	2013-08-09	040 - Taurus IP LLC v DaimlerChrysler Corp	Western District of Wisconsin	Federal District Court	"AFFIRMED–IN–PART AND REVERSED–IN–PART
"	Schall	"Before PROST, SCHALL, and REYNA, Circuit Judges.
"
786 F.3d 983	Apple Inc v Samsung Electronics Co Ltd	2015-05-18	089 - Apple Inc v Samsung Electronics Co Ltd	Northern District of California	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART and REMANDED
"	Prost	"Before PROST, Chief Judge, O'MALLEY and CHEN, Circuit Judges.
"
801 F.3d 1346	R8FL Carriers Inc v Qualcomm Inc	2002-06-04	081 - R8FL Carriers Inc v Qualcomm Inc	Southern District of Ohio	Federal District Court	"AFFIRMED
"	O'Malley 	"Before NEWMAN, O'MALLEY, and WALLACH, Circuit Judges.
"
695 F.3d 1334	In re Droge	2012-09-21	035 - In re Droge	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Moore	"Before NEWMAN, MOORE, and O'MALLEY, Circuit Judges.
"
699 F.3d 1331	Pei-Herng Hor v Ching-Wu Chu	2012-11-14	084 - Pei-Herng Hor v Ching-Wu Chu	Southern District of Texas	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED
"	Prost	"Before NEWMAN, PROST, and REYNA, Circuit Judges.
"
781 F.3d 1340	NeuroRepair Inc v The Nath Law Group	2015-01-15	061 - NeuroRepair Inc v The Nath Law Group	Southern District of California	Federal District Court	"Vacated and remanded.
"	Wallach	"Before WALLACH, CHEN, and HUGHES, Circuit Judges.
"
837 F.3d 1268	Stryker Corporation v Zimmer Inc	2016-09-12	018 - Stryker Corporation v Zimmer Inc	Western District of Michigan	Federal District Court	"*1280  AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED
"	Prost	"Before Prost, Chief Judge, Newman and Hughes, Circuit Judges.
"
678 F.3d 1357	In re Baxter Intern Inc	2012-05-17	032 - In re Baxter Intern Inc	Northern District of California	Federal District Court	"AFFIRMED
"	Lourie	"Before NEWMAN, LOURIE, and MOORE, Circuit Judges.
"
841 F.3d 1334	Alfred E Mann Foundation for Scientific Research v Cochlear Corporation	2016-11-17	008 - Alfred E Mann Foundation for Scientific Research v Cochlear Corporation	Central District of California	Federal District Court	"AFFIRMED-IN-PART, REVERSED-IN-PART, VACATED-IN-PART, AND REMANDED
"	Hughes	"Before Newman, Chen, and Hughes, Circuit Judges.
"
682 F.3d 1003	Bard Peripheral Vascular Inc v WL Gore And Associates Inc	2012-06-14	037 - Bard Peripheral Vascular Inc v WL Gore And Associates Inc	District of Arizona	Federal District Court	"AFFIRMED IN PART, VACATED IN PART AND REMANDED IN PART.
"	Gajarsa	"Before NEWMAN, GAJARSA, *  and LINN, Circuit Judges.
"
837 F.3d 1299	McRO Inc v Bandai Namco Games America Inc	2016-09-13	007 - McRO Inc v Bandai Namco Games America Inc	Central District of California	Federal District Court	"REVERSED AND REMANDED
"	Reyna	"Before Reyna, Taranto, and Stoll, Circuit Judges.
"
808 F.3d 829	Merck And Cie v Gnosis SPA	2015-12-17	080 - Merck And Cie v Gnosis SPA	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Hughes	"Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
"
745 F.3d 490	Elcommercecom Inc v SAP AG	2014-02-24	009 - Elcommercecom Inc v SAP AG	Eastern District of Texas	Federal District Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED
"	Newman	"Before NEWMAN, PLAGER, and WALLACH, Circuit Judges.
"
764 F.3d 1401	Ferring BV v Watson Laboratories Inc-Florida	2014-08-22	032 - Ferring BV v Watson Laboratories Inc-Florida	District of Nevada	Federal District Court	"AFFIRMED IN PART, REVERSED IN PART, and VACATED IN PART
"	Lourie	"Before LOURIE, DYK, and REYNA, Circuit Judges. LOURIE, Circuit Judge.
"
871 F.3d 1355	In re Cray Inc	2017-09-21	029 - In re Cray Inc	Eastern District of Texas	Federal District Court	"Petition granted.
"	Lourie	"Before Lourie, Reyna, and Stoll, Circuit Judges.
"
720 F.3d 1361	Commil USA LLC v Cisco Systems Inc	2013-06-25	010 - Commil USA LLC v Cisco Systems Inc	Eastern District of Texas	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	Prost	"Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
"
859 F.3d 1014	Skky Inc v MindGeek sarl	2017-06-07	009 - Skky Inc v MindGeek sarl	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Lourie	"Before Lourie, Reyna, and Wallach, Circuit Judges.
"
843 F.3d 936	In re Jobdiva Inc	2016-12-12	001 - In re Jobdiva Inc	Trademark Trial and Appeal Board	Federal Court	"VACATED AND REMANDED
"	Stoll	"Before Prost, Chief Judge, Dyk, and Stoll, Circuit Judges.
"
856 F.3d 902	In re Affinity Labs of Texas LLC	2017-05-05	013 - In re Affinity Labs of Texas LLC	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Chen	"Before Taranto, Chen, and Stoll, Circuit Judges.
"
773 F.3d 1201	Ericsson Inc v D-Link Systems Inc	2014-12-04	058 - Ericsson Inc v D-Link Systems Inc	Eastern District of Texas	Federal District Court	"AFFIRMED IN PART, REVERSED IN PART, VACATED IN PART, AND REMANDED
"	O'Malley	"Before O'MALLEY, TARANTO, and HUGHES, Circuit Judges.
"
